# Last modified: 07-11-2017@22:02:00
# LRG_TRANSCRIPT	HGNC_SYMBOL	CHROMOSOME	STRAND	TRANSCRIPT_START	TRANSCRIPT_STOP	EXONS_COORDS	LRG_PROTEIN	CDS_START	CDS_STOP
LRG_1t1	COL1A1	17	-1	48261457	48279000	48261457-48263009,48263139-48263381,48263678-48263868,48264001-48264283,48264376-48264483,48264845-48264898,48265237-48265344,48265457-48265510,48265891-48265998,48266103-48266156,48266264-48266371,48266529-48266636,48266738-48266899,48267040-48267093,48267220-48267273,48267362-48267469,48267688-48267741,48267904-48267957,48268178-48268285,48268744-48268851,48269149-48269247,48269341-48269385,48269836-48269889,48270001-48270054,48270158-48270211,48270355-48270408,48271304-48271402,48271491-48271544,48271710-48271808,48271934-48271987,48272082-48272189,48272408-48272461,48272593-48272691,48272795-48272839,48272928-48273026,48273284-48273337,48273516-48273560,48273675-48273728,48273845-48273889,48273978-48274031,48274371-48274424,48274541-48274594,48275093-48275146,48275310-48275363,48275522-48275566,48275794-48275865,48276587-48276688,48276779-48276814,48276917-48276951,48277114-48277308,48278772-48279000	LRG_1p1	48262863	48278874
LRG_2t1	COL1A2	7	1	94023873	94060544	94023873-94024413,94027060-94027070,94027694-94027708,94028361-94028396,94029508-94029600,94030879-94030932,94033868-94033912,94034005-94034058,94034151-94034204,94034511-94034564,94034985-94035038,94035562-94035615,94037159-94037203,94037495-94037548,94037648-94037692,94038082-94038135,94038634-94038732,94038876-94038920,94039035-94039133,94039554-94039607,94039732-94039839,94040201-94040254,94040368-94040466,94041380-94041433,94041896-94041994,94042395-94042448,94043002-94043055,94043206-94043259,94043534-94043587,94044538-94044582,94045717-94045815,94047036-94047143,94047811-94047864,94048810-94048863,94049545-94049598,94049703-94049756,94049853-94049960,94050321-94050374,94051211-94051264,94052269-94052430,94053648-94053755,94054429-94054536,94054922-94054975,94055062-94055169,94055310-94055363,94055735-94055842,94056320-94056373,94056500-94056607,94056939-94057197,94057605-94057789,94058500-94058742,94059559-94060544	LRG_2p1	94024344	94059705
LRG_3t1	COL3A1	2	1	189839099	189877472	189839099-189839294,189849486-189849688,189849923-189849973,189850391-189850504,189851785-189851865,189852807-189852860,189853316-189853369,189854122-189854175,189854822-189854875,189855033-189855086,189855730-189855783,189856213-189856257,189856395-189856448,189856910-189856954,189857613-189857666,189858087-189858185,189858764-189858808,189858960-189859058,189859267-189859320,189859450-189859557,189859772-189859825,189860418-189860516,189860851-189860904,189861124-189861222,189861891-189861944,189862062-189862115,189862426-189862479,189862992-189863045,189863400-189863444,189864011-189864109,189864196-189864303,189864568-189864621,189866123-189866176,189866262-189866315,189867024-189867077,189867681-189867788,189868137-189868190,189868460-189868513,189868708-189868869,189868983-189869090,189870076-189870183,189870932-189870985,189871071-189871178,189871663-189871716,189872226-189872333,189872611-189872664,189872761-189872868,189873650-189873947,189874904-189875091,189875374-189875616,189876354-189877472	LRG_3p1	189839216	189876500
LRG_4t1	CRTAP	3	1	33155450	33189265	33155450-33156040,33161836-33161985,33165900-33166071,33171431-33171559,33174047-33174192,33175674-33175757,33183887-33189265	LRG_4p1	33155570	33183940
LRG_5t1	P3H1	1	-1	43212006	43232755	43212006-43212523,43212943-43213083,43213394-43213469,43213871-43213988,43215857-43216007,43217945-43218040,43218208-43218335,43220540-43220661,43220836-43220888,43221219-43221308,43223454-43223593,43224523-43224654,43224872-43225061,43227994-43228146,43232178-43232755	LRG_5p1	43212368	43232642
LRG_5t2	P3H1	1	-1	43212006	43232755	43212006-43212523,43212924-43213083,43213394-43213469,43213871-43213988,43215857-43216007,43217945-43218040,43218208-43218335,43220540-43220661,43220836-43220888,43221219-43221308,43223454-43223593,43224523-43224654,43224872-43225061,43227994-43228146,43232178-43232755	LRG_5p2	43212504	43232642
LRG_5t3	P3H1	1	-1	43212006	43232755	43212006-43213083,43213394-43213469,43213871-43213988,43215857-43216007,43217945-43218040,43218208-43218335,43220540-43220661,43220836-43220888,43221219-43221308,43223454-43223593,43224523-43224654,43224872-43225061,43227994-43228146,43232178-43232755	LRG_5p3	43212583	43232642
LRG_6t1	ATP1A2	1	1	160085548	160113381	160085548-160085663,160090696-160090800,160090982-160091041,160093003-160093206,160093733-160093846,160094086-160094220,160094926-160095043,160097342-160097610,160098442-160098640,160098770-160098879,160099056-160099190,160099892-160100081,160100212-160100387,160104274-160104410,160104935-160105085,160105224-160105392,160105629-160105783,160106037-160106160,160106360-160106505,160106691-160106821,160109430-160109531,160109683-160109774,160111084-160113381	LRG_6p1	160085652	160111112
LRG_7t1	CACNA1A	19	-1	13317256	13617274	13317256-13318862,13319570-13319823,13320126-13320312,13321431-13321466,13322917-13323030,13323198-13323336,13323445-13323554,13325047-13325147,13325315-13325422,13335481-13335586,13339513-13339609,13340896-13341023,13342524-13342674,13345735-13345850,13346023-13346088,13346428-13346544,13355996-13356079,13363805-13363915,13365909-13366073,13368164-13368365,13370378-13370515,13372264-13372424,13373548-13373647,13386664-13386770,13387883-13387942,13394081-13394210,13395882-13396020,13397317-13397780,13409358-13410167,13411364-13411470,13414360-13414427,13414581-13414698,13418596-13418668,13418934-13419065,13419230-13419342,13423483-13423595,13427926-13428135,13441058-13441150,13443683-13443739,13445192-13445307,13446620-13446723,13470420-13470613,13476131-13476283,13482502-13482593,13563690-13563829,13565921-13566026,13616746-13617274	LRG_7p1	13318860	13617038
LRG_8t1	SCN1A	2	-1	166845670	166930149	166845670-166848932,166850656-166850926,166852523-166852627,166854548-166854685,166856233-166856286,166858982-166859263,166866229-166866351,166868619-166868792,166870254-166870408,166872117-166872237,166892558-166893040,166894286-166894642,166895933-166896106,166897741-166897979,166898802-166898934,166900212-166900559,166901553-166901837,166903280-166903486,166904137-166904278,166905396-166905459,166908229-166908498,166909362-166909453,166911148-166911276,166912921-166913010,166915080-166915198,166929868-166930149	LRG_8p1	166847755	166930131
LRG_9t1	SDHD	11	1	111957548	111966525	111957548-111957683,111958581-111958697,111959591-111959735,111965529-111966525	LRG_9p1	111957632	111965694
LRG_10t1	PPIB	15	-1	64448014	64455354	64448014-64448344,64448924-64449108,64452303-64452396,64454240-64454353,64455051-64455354	LRG_10p1	64448222	64455185
LRG_11t1	CDKN2A	9	-1	21967751	21975132	21967751-21968241,21970901-21971207,21974677-21975132	LRG_11p1	21968228	21974826
LRG_11t2	CDKN2A	9	-1	21967751	21994490	21967751-21968241,21970901-21971207,21994138-21994490	LRG_11p2	21971002	21994330
LRG_12t1	FKBP10	17	1	39968962	39979469	39968962-39969531,39973310-39973455,39974341-39974530,39974634-39974779,39975462-39975651,39975782-39975927,39976521-39976713,39977199-39977341,39977906-39978069,39978475-39979469	LRG_12p1	39969287	39978660
LRG_13t1	CALCA	11	-1	14988215	14993832	14988215-14988647,14989220-14989400,14991481-14991621,14992653-14992747,14993767-14993832	LRG_13p1	14989241	14992738
LRG_13t2	CALCA	11	-1	14990047	14993832	14990047-14990543,14991481-14991621,14992653-14992747,14993767-14993832	LRG_13p2	14990345	14992738
LRG_14t1	L1CAM	X	-1	153126969	153141500	153126969-153128349,153128823-153128834,153128932-153129004,153129338-153129472,153129777-153129932,153130040-153130159,153130276-153130449,153130543-153130665,153130754-153130955,153131159-153131274,153132104-153132326,153132509-153132579,153132811-153133008,153133255-153133365,153133453-153133577,153133757-153133913,153134016-153134182,153134296-153134407,153134975-153135118,153135258-153135389,153135511-153135695,153135843-153135954,153136245-153136415,153136512-153136634,153137607-153137809,153138047-153138152,153138683-153138697,153141216-153141500	LRG_14p1	153128118	153141291
LRG_15t1	UBE3A	15	-1	25582396	25650653	25582396-25584404,25585232-25585375,25599500-25599573,25599675-25599830,25601039-25601203,25601838-25602043,25605530-25605674,25615713-25616959,25620612-25620910,25650608-25650653	LRG_15p1	25584284	25650609
LRG_16t1	ADA	20	-1	43248163	43280376	43248163-43248488,43248940-43249042,43249659-43249788,43251229-43251293,43251470-43251571,43251648-43251719,43252843-43252970,43254210-43254325,43255097-43255240,43257688-43257810,43264868-43264929,43280216-43280376	LRG_16p1	43248475	43280248
LRG_17t1	AICDA	12	-1	8754762	8765442	8754762-8756933,8757403-8757518,8757811-8758081,8759461-8759608,8765356-8765442	LRG_17p1	8756880	8765363
LRG_18t1	AIRE	21	1	45705763	45718102	45705763-45706021,45706440-45706614,45706861-45707016,45707400-45707474,45708228-45708341,45709540-45709685,45709871-45709951,45710978-45711093,45712185-45712284,45712876-45713058,45713672-45713793,45714284-45714386,45716266-45716328,45717539-45718102	LRG_18p1	45705890	45717610
LRG_19t1	XIAP	X	1	122994017	123047829	122994017-122994143,123019481-123020389,123022469-123022568,123025088-123025166,123026581-123026623,123034343-123034543,123040838-123047829	LRG_19p1	123019513	123041031
LRG_20t1	BLM	15	1	91260579	91358686	91260579-91260671,91290619-91290720,91292597-91293297,91295017-91295176,91298041-91298168,91303377-91303509,91303824-91304485,91306196-91306387,91308526-91308644,91310140-91310253,91312363-91312461,91312668-91312816,91326052-91326158,91328151-91328311,91333879-91334074,91337397-91337587,91341420-91341567,91346751-91346950,91347397-91347589,91352367-91352489,91354435-91354636,91358332-91358686	LRG_20p1	91290623	91358509
LRG_21t1	BLNK	10	-1	97951455	98031333	97951455-97951848,97956664-97956819,97959831-97959914,97960738-97960814,97963813-97963844,97964288-97964372,97966767-97966809,97967628-97967655,97969594-97969663,97975077-97975145,97976409-97976490,97983582-97983745,97987166-97987322,97990550-97990590,98002491-98002540,98006740-98006805,98031109-98031333	LRG_21p1	97951729	98031155
LRG_22t1	C1QA	1	1	22963118	22966175	22963118-22963195,22964103-22964272,22965326-22966175	LRG_22p1	22964110	22965900
LRG_23t1	C1QB	1	1	22979682	22988029	22979682-22979796,22985933-22986136,22987305-22988029	LRG_23p1	22985950	22987879
LRG_24t1	C1QC	1	1	22970118	22974603	22970118-22970230,22970504-22970697,22973720-22974603	LRG_24p1	22970517	22974276
LRG_24t2	C1QC	1	1	22970147	22974603	22970147-22970207,22970504-22970697,22973720-22974603	LRG_24p2	22970517	22974276
LRG_25t1	C1S	12	1	7167980	7178336	7167980-7168181,7169143-7169221,7169779-7169986,7170194-7170371,7171571-7171696,7172404-7172603,7173121-7173274,7173822-7173937,7174343-7174421,7174947-7175075,7175760-7175834,7177159-7178336	LRG_25p1	7169217	7177955
LRG_26t1	C2	6	1	31895266	31913449	31895266-31895575,31895732-31895941,31896509-31896694,31901387-31901560,31901644-31901742,31901943-31902076,31903700-31903838,31905096-31905236,31907008-31907097,31910736-31910876,31911002-31911096,31911193-31911304,31911421-31911586,31911694-31911770,31911912-31912003,31912504-31912630,31912757-31912806,31912955-31913449	LRG_26p1	31895530	31913134
LRG_27t1	C3	19	-1	6677846	6720662	6677846-6678034,6678163-6678298,6678383-6678466,6679136-6679219,6679418-6679507,6680169-6680274,6681952-6682041,6682153-6682240,6684399-6684450,6684571-6684661,6684786-6684845,6684999-6685157,6686135-6686298,6686757-6686913,6690640-6690738,6692935-6693094,6693423-6693498,6694442-6694645,6696390-6696476,6696604-6696670,6697355-6697567,6697663-6697805,6702138-6702223,6702482-6702590,6707087-6707284,6707477-6707548,6707811-6707940,6709695-6709853,6710650-6710856,6710998-6711207,6712268-6712417,6712519-6712634,6713200-6713326,6713418-6713520,6714003-6714093,6714177-6714259,6714363-6714457,6718105-6718175,6718258-6718423,6719222-6719414,6720527-6720662	LRG_27p1	6677893	6720600
LRG_28t1	C5	9	-1	123714613	123812554	123714613-123715146,123716008-123716146,123719563-123719646,123722526-123722615,123723760-123723843,123724949-123725054,123725171-123725245,123725914-123726016,123731339-123731396,123732448-123732529,123734208-123734270,123737057-123737209,123738978-123739183,123742361-123742532,123744122-123744217,123744933-123745092,123751324-123751399,123751846-123752058,123753469-123753558,123758518-123758578,123759825-123760052,123768197-123768336,123769182-123769255,123770686-123770776,123776151-123776348,123777477-123777539,123778532-123778661,123779640-123779789,123779921-123780130,123782254-123782457,123783787-123783972,123785682-123785797,123787732-123787858,123789438-123789552,123792675-123792765,123794391-123794473,123797081-123797172,123800159-123800229,123805282-123805444,123808469-123808661,123812460-123812554	LRG_28p1	123715017	123812524
